district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
100904,38.4,0,SILSBEE ISD,INDEPENDENT,05,2772,0.0292207792,0.6659451659,Non-metropolitan Stable,75,C
100905,41.9,0,HARDIN-JEFFERSON ISD,INDEPENDENT,05,2697,0.0511679644,0.4282536151,Other Central City Suburban,86,B
100907,46.6,0,LUMBERTON ISD,INDEPENDENT,05,4195,0.031466031,0.3713945173,Other Central City Suburban,78,C
100908,40.2,0,WEST HARDIN COUNTY CISD,INDEPENDENT,05,552,0.009057971,0.6974637681,Rural,82,B
101802,35,0,SER-NINOS CHARTER SCHOOL,CHARTER,04,1113,0.8823000898,0.9856244385,Charter School Districts,89,B
101803,47,0,ARISTOI CLASSICAL ACADEMY,CHARTER,04,1316,0.0600303951,0.2629179331,Charter School Districts,70,C
101806,58.3,1,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,CHARTER,04,1771,0.7340485601,0.961038961,Charter School Districts,92,A
101810,28.5,0,ACADEMY OF ACCELERATED LEARNING INC,CHARTER,04,850,0.6611764706,0.9435294118,Charter School Districts,,Not Rated
101814,19.8,0,THE VARNETT PUBLIC SCHOOL,CHARTER,04,1085,0.5870967742,0.9824884793,Charter School Districts,84,B
101815,52.8,0,ALIEF MONTESSORI COMMUNITY SCHOOL,CHARTER,04,370,0.7621621622,0.8189189189,Charter School Districts,89,B
101819,59,0,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,CHARTER,04,567,0.9523809524,0.9911816578,Charter School Districts,92,A
101828,70.6,0,HOUSTON GATEWAY ACADEMY INC,CHARTER,04,2128,0.6198308271,0.8505639098,Charter School Districts,93,A
101838,20.4,0,SOUTHWEST PUBLIC SCHOOLS,CHARTER,04,1578,0.8010139417,0.9499366286,Charter School Districts,68,Not Rated: SB 1365
101840,18.4,0,TWO DIMENSIONS PREPARATORY ACADEMY,CHARTER,04,464,0.0538793103,0.9827586207,Charter School Districts,70,C
101842,0,0,COMQUEST ACADEMY,CHARTER,04,54,0.4444444444,0.6296296296,Charter School Districts,70,C
101845,56,0,YES PREP PUBLIC SCHOOLS INC,CHARTER,04,16366,0.5661737749,0.887327386,Charter School Districts,91,A
101846,44.5,1,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,CHARTER,04,3501,0.5229934304,0.8309054556,Charter School Districts,94,A
101847,29.6,0,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,CHARTER,04,497,0,0.7384305835,Charter School Districts,74,C
101849,32.2,0,ACCELERATED INTERMEDIATE ACADEMY,CHARTER,04,138,0.347826087,0.884057971,Charter School Districts,91,A
101853,20.9,0,BAKERRIPLEY COMMUNITY SCHOOLS,CHARTER,04,1790,0.4826815642,0.9938547486,Charter School Districts,66,Not Rated: SB 1365
101855,18.6,0,MEYERPARK ELEMENTARY,CHARTER,04,274,0.0109489051,0.799270073,Charter School Districts,66,Not Rated: SB 1365
